id,number_of_reviews,reviews_per_month,last_review
93313,106,1.22,2021-05-13
94035,51,1.47,2019-12-16
94209,10,3.9,2021-06-27
94477,400,3.3,2020-03-15
94783,117,1.15,2021-04-06
95747,14,0.11,2021-03-29
95883,5,0.08,2018-12-26
98663,19,0.19,2018-06-11
99085,22,0.26,2021-07-09
99662,28,0.27,2014-06-17
100002,151,1.4,2020-02-18
100186,106,1.28,2021-04-23
100368,35,0.29,2021-05-31
101053,38,0.3,2020-01-21
102995,45,0.68,2017-08-02
103161,138,1.48,2021-07-11
103311,9,0.07,2018-05-19
105469,16,0.22,2020-06-28
105790,144,1.56,2019-06-08
106363,422,3.71,2021-07-30
106647,106,0.99,2021-07-14
107630,286,2.82,2021-07-25
107895,61,0.61,2021-01-16
110576,53,0.45,2020-09-04
110739,66,0.56,2021-07-10
112100,3,0.02,2011-08-08
112304,1,0.01,2016-01-02
112435,177,2.07,2019-12-06
113265,270,2.49,2020-02-11
114123,34,0.4,2020-01-11
115535,34,0.28,2019-10-30
115748,34,0.36,2021-07-31
116551,171,1.43,2020-12-03
118061,85,0.85,2020-02-17
121687,56,2.04,2019-12-11
121861,23,0.24,2016-05-02
123784,184,1.57,2021-07-15
125163,48,0.69,2021-08-02
126443,451,3.73,2021-08-01
126816,3,0.02,2014-11-06
127387,3,0.03,2014-08-04
132516,43,1.21,2021-07-19
133025,140,2.18,2021-05-01
134934,27,0.33,2019-12-07
135393,290,2.39,2020-03-09
135465,110,1.18,2021-07-11
135706,10,0.08,2013-06-12
136493,27,0.86,2021-07-10
139624,79,0.79,2020-11-01
140133,172,1.42,2020-07-02
140973,78,1.15,2019-12-15
141154,263,2.91,2020-03-11
141335,37,0.33,2021-06-18
142069,22,0.26,2014-11-10
144087,21,0.18,2020-11-30
144148,32,0.44,2015-12-26
145064,8,0.07,2011-08-08
148201,18,0.16,2012-10-23
148259,80,1.41,2021-06-29
148825,228,2.27,2021-06-27
150804,29,0.77,2021-07-11
150989,18,0.26,2020-10-15
151199,464,4.31,2021-08-02
151478,8,0.07,2018-12-11
152263,251,3.01,2021-08-03
153780,188,1.59,2021-07-17
154934,38,0.45,2018-05-08
157673,92,0.82,2020-11-06
158061,27,0.23,2017-10-08
158176,140,1.97,2021-07-14
159749,76,0.66,2019-11-17
159815,52,2.01,2020-09-19
159913,27,0.78,2019-12-16
162493,42,0.96,2021-04-06
162508,28,0.26,2019-06-28
163814,358,2.95,2021-08-01
166006,189,1.71,2018-03-08
166172,62,0.73,2019-06-12
166983,6,0.07,2014-08-28
168123,110,1.32,2021-07-05
169306,142,1.37,2021-07-18
169464,98,0.91,2020-02-25
170420,15,0.13,2012-09-22
170761,71,2.02,2021-07-14
171562,20,0.21,2021-06-07
172499,26,0.5,2019-01-02
173151,262,2.19,2020-03-08
174966,26,0.22,2016-01-20
176653,43,0.92,2020-01-03
177495,5,0.19,2019-06-24
177606,106,1.11,2021-05-11
179670,116,0.96,2021-07-17
179741,17,1.3,2020-12-28
182069,117,1.24,2021-01-19
182095,67,0.67,2020-01-01
182177,312,3.11,2021-06-20
187986,2,0.03,2011-08-31
188674,63,0.93,2017-01-01
189135,101,1.1,2019-12-28
189181,1,0.01,2014-04-20
189732,237,2.12,2021-07-31
189787,103,2.04,2020-01-01
190267,40,0.37,2019-07-24
190968,37,0.64,2019-12-28
190974,219,2.2,2021-07-28
191541,55,0.47,2018-12-05
195123,232,1.94,2020-01-11
195233,59,1.28,2020-01-02
195240,82,2.02,2020-01-07
195989,212,1.89,2021-07-05
197753,320,3.55,2019-11-17
197942,232,1.98,2021-05-24
198028,16,0.13,2013-07-13
200955,22,0.19,2018-04-30
201992,106,1.38,2019-04-30
202273,72,0.71,2016-12-26
203901,8,0.07,2016-07-10
204065,67,0.56,2021-06-20
205043,475,7.43,2021-07-31
205485,135,1.22,2019-12-09
205867,101,1.07,2020-11-23
206316,4,0.08,2018-08-27
206772,41,0.67,2020-11-22
206957,129,1.47,2016-11-15
208122,34,0.53,2020-03-13
208148,14,0.12,2015-08-31
208889,55,0.49,2020-08-16
209310,285,2.56,2021-05-01
211078,228,2.07,2018-04-25
212109,10,0.14,2019-08-05
212544,9,0.08,2015-07-14
213330,30,0.41,2021-05-30
214917,2,0.03,2018-02-08
215560,180,1.58,2021-05-31
216080,86,1.47,2021-07-20
217580,11,0.1,2021-04-17
218358,23,0.3,2021-07-04
219066,28,0.25,2020-03-24
219922,37,0.42,2019-10-23
220563,59,0.58,2016-12-27
220946,154,2.24,2020-01-02
222304,34,0.58,2019-11-14
222913,223,1.98,2019-04-16
223930,21,0.52,2019-06-23
224004,68,0.72,2020-03-11
225306,144,1.6,2021-05-31
225354,11,0.09,2014-06-03
225976,88,0.8,2021-06-01
226021,162,2.3,2021-05-24
227495,102,0.94,2021-05-01
227715,256,2.19,2020-03-17
228317,90,0.84,2021-07-03
228925,10,0.18,2017-12-08
230321,43,0.38,2020-08-05
230877,115,0.99,2019-06-30
231154,31,0.37,2018-10-14
232612,358,3.06,2021-07-05
233189,91,0.77,2021-03-26
233638,20,0.2,2018-07-31
234330,75,0.74,2021-05-01
235281,21,0.19,2017-04-29
235515,62,0.65,2021-07-12
235552,38,0.62,2017-08-16
235651,86,1.04,2020-01-18
235951,149,1.46,2021-06-13
235960,104,1.03,2021-07-25
236671,165,1.86,2021-04-03
239733,53,1.65,2020-02-21
239883,127,1.66,2021-07-17
239899,7,0.14,2021-03-06
239934,42,0.42,2015-06-16
240800,164,2.25,2020-03-11
242643,40,0.79,2021-07-19
245544,112,1.88,2020-05-04
245574,212,2.25,2021-07-10
246351,5,0.07,2015-08-09
247562,24,0.29,2021-07-13
248717,14,0.4,2018-10-11
248865,38,0.33,2020-02-15
248871,154,1.89,2020-03-01
248966,43,0.52,2017-08-31
249414,6,0.1,2017-06-28
249618,4,0.05,2014-07-04
249704,17,0.18,2021-01-27
249867,7,0.06,2012-12-30
250259,24,0.36,2021-03-31
250323,49,0.57,2014-12-03
250536,11,0.17,2016-09-26
251277,126,2.03,2021-07-18
252865,5,0.23,2014-10-08
253466,39,0.41,2021-04-26
253471,25,0.75,2021-07-31
253475,70,0.84,2020-03-01
253590,22,0.23,2019-12-01
253800,29,0.44,2021-03-31
253803,25,0.23,2019-10-07
253806,46,0.71,2019-10-14
253811,53,1.14,2021-07-12
253815,56,1.46,2021-06-13
253828,8,0.07,2018-07-02
253839,4,0.03,2015-11-03
253846,13,0.12,2021-07-25
254168,7,0.06,2014-10-26
254409,2,0.02,2014-01-13
255476,32,0.84,2021-02-14
255601,212,1.88,2020-03-08
255637,37,2.15,2020-11-30
257097,36,0.9,2020-10-10
258688,48,0.47,2021-05-24
258690,10,0.09,2014-10-26
258740,143,1.89,2018-06-30
258838,27,0.79,2021-07-18
258930,4,0.03,2012-07-26
261259,11,0.09,2014-09-12
261674,20,0.35,2017-04-01
261781,8,0.09,2017-12-30
262478,11,0.23,2018-05-13
262583,199,2.1,2021-06-30
263005,121,1.09,2021-07-12
263232,1,0.03,2019-01-27
263502,24,0.21,2012-05-06
263888,182,3.76,2021-07-18
265036,25,1.1,2019-09-28
265145,8,0.07,2013-12-23
265506,11,0.09,2015-10-14
266146,39,0.67,2021-06-27
266155,20,0.19,2021-06-18
266449,74,0.87,2020-10-04
267376,9,1.27,2021-08-01
267435,25,0.36,2020-02-16
267652,28,0.6,2021-07-29
268335,1,0.13,2020-12-19
