,id,name,host_id,price,minimum_nights
107,54508,Sml Rm  Brst  PSl great for longer stays Med/Stu,210746,60,2
108,54626,Cozy bedroom by Yankee Stadium,190409,50,1
109,54694,(H) Great Deal/Pvt Rm,27848,65,30
110,54860,Great apartment with private bathroom and entrance,258164,100,5
111,55982,Cozy 2 br in sunny Fort Greene apt,264928,85,3
112,56859,City Room - Private & Comfy Bedroom,256161,86,3
113,57166,Elegant NYC Pad,272006,175,3
114,57297,"Clean & bright 1BR in Cobble Hill, GREAT location!",199392,162,30
115,57618,"Great new apt, close to everything",274557,250,3
116,57754,Stylish Large SPARKLING Gramercy Loft!,275578,288,2
117,57874,The Brownstone-Luxury 1 Bd Apt/NYC,276291,160,3
118,57901,Huge Room - Luxury Doorman Building,276207,45,60
119,58059,Private Room on Historic Sugar Hill,277379,55,2
120,58062,South Slope Green,277394,139,2
121,59014,"Spacious 1BR, Adorable Clean Quiet",282927,150,30
122,59121,"Nice, clean, safe, convenient 3BR",204539,188,30
123,59709,"Artistic, Cozy, and Spacious w/ Patio! Sleeps 5",186084,229,7
124,59855,One bedroom Apt. in NYC,288031,250,30
125,60164,"Beautiful, elegant 3 bed SOHO loft",289653,500,30
126,60457,Spacious Greenwich Village Apt,99212,250,30
127,60611,SpaHa Studio Monthly Rental,292204,68,30
128,60666,City Room - Private Luxury Suite,256161,140,3
129,60673,Private Room/bath Luxurious Harlem,249372,125,30
130,60680,"Bright, High Ceiling, Spacious & Cozy 1BR - Enjoy!",292630,125,30
131,60794,"Bright and spacious, garden below!",293394,211,30
132,61167,NO LONGER AVAILABLE,295760,175,30
133,61509,"Quiet, clean midtown apt w. elevato",23619,110,200
134,62427,Great East Village Apartment Rental,303882,130,30
135,62452,A SpeciaL!! Private Room in NY,303939,30,30
136,62461,B NYC Staten Alternative...,303939,30,30
137,62468,"Great Apt, Great Location",304081,170,30
138,62787,C Private Room By The Ferry,303939,30,30
139,62891,Smallest House In The Village,306545,127,4
140,62903,Beautiful modern studio apartment in heart of NYC,306605,205,30
141,62925,Beautiful Landmarked Duplex,306739,285,3
142,63320,D Private Che@p Room 2 Explore NYC,303939,30,30
143,63610,DOMINIQUE'S NY mini efficiency pad** A Rare Find**,310670,99,2
144,63657,"Private, Large & Sunny Top Floor Apt  w/W&D",170510,135,30
145,63693,Cottage in the Village,306545,390,7
146,64000,Williamsburg loft bunk bed   l,312722,48,31
147,64107,BROOKLYN  STUDIO APARTMENT,313317,100,3
148,64314,cozy bedroom in lovely garden apt,314256,75,30
149,64365,Crown Heights Garden Apt.,314582,60,30
150,64837,ENJOY Downtown NYC!!,46978,50,7
151,65268,Share a HOME - $75 for 1 bdrm/++ for 2 - Brooklyn,319092,75,5
152,65425,Entire 2 Bedroom Apartment,314941,228,1
153,65615,Farmhouse Apartment in Williamsburg,320761,85,10
154,65660,Bright+Spacious Williamsburg Abode!,320538,102,30
155,65813,"Suite Sugar Hill, Harlem, Private Rm in Hosted Apt",321756,75,3
156,66008,CHARMING CARROLL GARDENS APT.,322884,190,30
157,66251,East Village Loft with Piano & Patio,324460,368,3
158,66275,Lower East Side Magic Apartment Entire Apartment!!,314941,355,1
159,66718,West Harlem Home Base - Eco-Apt.,136227,76,30
160,66741,Charming Garden Apt in Park Slope,327673,150,30
161,66974,"Lovely, Modern, Garden Apartment",329436,200,2
162,67288,Central Park 1BR sunny condo,101597,115,28
163,67299,Cozy Garden Apartment  in Williamsburg,330347,85,30
164,67397,SoHa comfort-by NW Central Park!,332189,122,30
165,68735,Prewar Penthouse w Private Terrace,342054,199,30
166,68900,Bright Beautiful Brooklyn,343250,90,30
167,68974,Unique spacious loft on the Bowery,281229,595,3
168,69894,"Nice renovated apt, prime location!",352168,150,30
169,69921,Brooklyn Writer's Nook,155689,83,3
170,71248,Bright and lovely 1 bdrm apt in LES,363834,135,25
171,71366,Beautiful One Bed West Village - 4 Month Special,364955,200,30
172,71384,Gigantic Private Brooklyn Loft!,365153,229,1
173,71812,Condo Apartment with Laundry and Assigned Parking,369015,90,30
174,72190,1BR: See Central Park from Terrace!,373085,110,30
175,74240,French Garden cottage off Bedford,389924,132,4
176,74438,Luxury HiRise XL 1BR Skyline views,391553,299,30
177,74680,One Bedroom Mini studio - Free WIFI,265109,119,7
178,74821,Deluxe Harlem 2 Bedroom,394640,149,30
