id,neighbourhood_group,neighbourhood,latitude,longitude,room_type,availability_365
25076765,Brooklyn,Williamsburg,40.71899,-73.94336,Private room,0
25083266,Brooklyn,East New York,40.66927,-73.88877,Private room,75
25085133,Manhattan,Battery Park City,40.7075,-74.01565,Private room,0
25085816,Manhattan,East Harlem,40.80098,-73.93833,Private room,365
25098068,Manhattan,Harlem,40.80082,-73.94738,Entire home/apt,34
25100219,Brooklyn,Williamsburg,40.7142,-73.96407,Entire home/apt,0
25101744,Brooklyn,Bedford-Stuyvesant,40.67901,-73.95178,Entire home/apt,0
25108878,Brooklyn,Bushwick,40.68341,-73.9084,Entire home/apt,142
25110602,Brooklyn,Greenpoint,40.72917,-73.95478,Private room,0
25112819,Manhattan,Harlem,40.83023,-73.9421,Entire home/apt,54
25113126,Queens,College Point,40.78969,-73.84144,Entire home/apt,34
25113440,Queens,Rego Park,40.73444,-73.86132,Entire home/apt,0
25124293,Brooklyn,Park Slope,40.67646,-73.98163,Entire home/apt,0
25125914,Brooklyn,Bedford-Stuyvesant,40.68333,-73.95833,Entire home/apt,165
25127198,Staten Island,Arrochar,40.59697,-74.08324,Private room,153
25127253,Manhattan,Hell's Kitchen,40.75891,-73.98936,Entire home/apt,0
25132598,Manhattan,Upper West Side,40.80175,-73.96789,Private room,0
25134311,Manhattan,East Harlem,40.78484,-73.94756,Entire home/apt,146
25134894,Manhattan,Chinatown,40.71631,-73.99946,Entire home/apt,266
25135607,Brooklyn,Greenpoint,40.73821,-73.95288,Entire home/apt,0
25135765,Manhattan,Harlem,40.81256,-73.9378,Entire home/apt,0
25137152,Manhattan,East Village,40.72222,-73.97996,Entire home/apt,120
25137887,Queens,Arverne,40.58783,-73.79603,Entire home/apt,361
25138149,Manhattan,East Harlem,40.79492,-73.94023,Entire home/apt,271
25138442,Manhattan,East Harlem,40.79573,-73.9361,Entire home/apt,110
25138975,Queens,Rockaway Beach,40.58614,-73.8164,Entire home/apt,0
25140559,Queens,Astoria,40.7696,-73.92498,Private room,344
25140787,Queens,Astoria,40.7677,-73.92275,Private room,353
25141552,Brooklyn,Midwood,40.6305,-73.96639,Private room,355
25155302,Brooklyn,East Flatbush,40.6529,-73.95151,Entire home/apt,0
25156280,Queens,Astoria,40.76167,-73.90434,Entire home/apt,0
25156498,Manhattan,Chelsea,40.74905,-73.99576,Private room,0
25157160,Brooklyn,Crown Heights,40.67566,-73.95331,Private room,0
25157795,Manhattan,Midtown,40.75526,-73.96588,Entire home/apt,50
25163519,Manhattan,East Harlem,40.79384,-73.93365,Entire home/apt,356
25167819,Brooklyn,Bedford-Stuyvesant,40.68607,-73.9243,Entire home/apt,179
25168638,Queens,East Elmhurst,40.76326,-73.89028,Entire home/apt,365
25168678,Manhattan,Upper West Side,40.77434,-73.98757,Private room,0
25182363,Brooklyn,Greenpoint,40.71917,-73.9497,Private room,293
25183213,Manhattan,Chinatown,40.71675,-73.99039,Entire home/apt,0
25187314,Manhattan,Harlem,40.80114,-73.95722,Entire home/apt,0
25187461,Manhattan,Financial District,40.70502,-74.00749,Entire home/apt,0
25187576,Queens,South Ozone Park,40.67424,-73.81921,Private room,0
25188064,Brooklyn,Bedford-Stuyvesant,40.68267,-73.91672,Entire home/apt,91
25188424,Brooklyn,Bedford-Stuyvesant,40.68091,-73.94887,Entire home/apt,30
25193004,Brooklyn,Flatbush,40.65058,-73.96199,Entire home/apt,52
25205044,Brooklyn,Canarsie,40.63632,-73.89824,Private room,227
25205158,Staten Island,St. George,40.64073,-74.08123,Private room,158
25205768,Manhattan,Hell's Kitchen,40.75711,-73.99161,Entire home/apt,0
25206790,Brooklyn,Fort Hamilton,40.62121,-74.0305,Entire home/apt,0
25209144,Manhattan,Harlem,40.82425,-73.95168,Private room,0
25209293,Manhattan,Lower East Side,40.72226,-73.9933,Entire home/apt,0
25209619,Brooklyn,Bedford-Stuyvesant,40.67952,-73.94582,Entire home/apt,310
25212748,Brooklyn,Prospect Heights,40.6824,-73.97253,Private room,0
25213872,Brooklyn,Bensonhurst,40.60979,-73.99848,Private room,0
25221993,Brooklyn,Williamsburg,40.71896,-73.9427,Entire home/apt,212
25222993,Manhattan,Harlem,40.81736,-73.94418,Entire home/apt,0
25224218,Manhattan,East Harlem,40.79516,-73.93534,Private room,76
25224320,Brooklyn,Bushwick,40.6913,-73.92484,Private room,320
25226807,Brooklyn,Clinton Hill,40.69197,-73.96093,Entire home/apt,0
25227326,Brooklyn,Williamsburg,40.71957,-73.95963,Entire home/apt,0
25231230,Manhattan,Upper West Side,40.80255,-73.96325,Private room,0
25232008,Manhattan,Midtown,40.76395,-73.97526,Entire home/apt,173
25232614,Manhattan,West Village,40.73123,-74.00189,Private room,0
25234732,Manhattan,Upper East Side,40.77403,-73.95058,Entire home/apt,338
25235760,Queens,Astoria,40.77221,-73.92885,Private room,308
25251220,Manhattan,Upper West Side,40.78645,-73.97054,Entire home/apt,247
25255024,Bronx,Pelham Gardens,40.86673,-73.84074,Entire home/apt,40
25255214,Brooklyn,Sunset Park,40.65958,-73.99903,Entire home/apt,21
25255942,Brooklyn,Bushwick,40.70086,-73.91167,Private room,60
