id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
9357,Midtown Pied-a-terre,30193,Tommi,Manhattan,Hell's Kitchen,40.76724,-73.98664,Entire home/apt,150,30,58,2017-08-13,0.57,1,215
9657,Modern 1 BR / NYC / East Village,21904,Dana,Manhattan,East Village,40.72712,-73.98598,Entire home/apt,192,10,39,2021-07-17,0.73,1,34
9704,Spacious 1 bedroom in luxe building,32045,Teri,Manhattan,Harlem,40.81317,-73.95465,Private room,55,30,98,2020-03-14,1.44,1,216
10452,Large B&B Style rooms,35935,Angela,Brooklyn,Bedford-Stuyvesant,40.68294,-73.95682,Private room,80,30,76,2021-04-01,0.67,5,212
10962,"Lovely Room 2; Garden; Best area, Legal",9744,Laurie,Brooklyn,South Slope,40.66692,-73.98981,Private room,98,4,188,2021-07-18,2.14,3,334
12192,ENJOY Downtown NYC!,46978,Edward,Manhattan,East Village,40.72296,-73.98383,Private room,40,2,265,2020-11-14,2.04,2,30
12343,BEST BET IN HARLEM,47727,Earl,Manhattan,Harlem,40.8114,-73.94296,Entire home/apt,250,30,107,2019-07-09,0.81,1,364
12937,"1 Stop fr. Manhattan! Private Suite,Landmark Block",50124,Orestes,Queens,Long Island City,40.74757,-73.94571,Private room,145,3,294,2021-07-27,3.11,1,164
12940,Charming Brownstone 3 - Near PRATT,50148,Adreinne,Brooklyn,Bedford-Stuyvesant,40.67946,-73.95417,Entire home/apt,99,30,71,2021-06-14,1.01,1,226
13121,(E) RIGHT ON BUDGET,27848,Jullett,Queens,Jamaica,40.67144,-73.76501,Private room,75,2,68,2021-07-11,0.82,5,361
13394,Fort Greene brownstone,52335,Alexander,Brooklyn,Fort Greene,40.69222,-73.97336,Private room,80,1,143,2019-08-24,1.2,1,129
13808,Blue Room for 2 in Brownstone for $1350 monthly,54275,JT And Tiziana,Brooklyn,Bedford-Stuyvesant,40.68064,-73.94039,Private room,80,2,152,2021-07-25,1.28,4,243
14290,* ORIGINAL BROOKLYN LOFT *,56104,James,Brooklyn,Williamsburg,40.70348,-73.93621,Entire home/apt,197,3,108,2021-06-28,2.08,1,129
14314,Greenpoint Place...Has It All!,56246,Jeanne,Brooklyn,Greenpoint,40.73535,-73.95584,Entire home/apt,99,30,179,2020-03-14,2.11,1,215
15220,Best Location in NYC! TIMES SQUARE!,59734,Luiz,Manhattan,Hell's Kitchen,40.75611,-73.99523,Private room,79,2,328,2021-07-17,2.69,2,309
15341,"Bright 1bd Nolita Apt, Doorman, Elevator, Security",60049,Ted,Manhattan,Nolita,40.72297,-73.99684,Entire home/apt,191,30,26,2020-10-14,0.72,1,65
15385,"Very, very cozy place",60252,Cristina,Brooklyn,Williamsburg,40.71211,-73.96397,Private room,80,7,49,2020-01-01,0.4,1,216
15396,Sunny & Spacious Chelsea Apartment,60278,Petra,Manhattan,Chelsea,40.74493,-73.99521,Entire home/apt,400,30,5,2016-10-18,0.08,1,61
15711,2 bedroom Upper East Side,61491,D,Manhattan,Upper East Side,40.77119,-73.95241,Entire home/apt,206,30,84,2020-07-08,0.63,3,226
16326,Comfortable 4-bedroom apt in family house.,63588,Dimitri,Brooklyn,Prospect Heights,40.67839,-73.96642,Entire home/apt,140,30,152,2020-12-29,1.28,1,286
16338,Double Room w Private Deck Clinton Hill Best Area,63613,Patricia,Brooklyn,Clinton Hill,40.69121,-73.96804,Private room,55,14,29,2021-02-28,0.36,2,277
16595,Quiet Full Floor Loft with Home Theater,64522,Ariel,Brooklyn,Williamsburg,40.7092,-73.96641,Entire home/apt,364,1,202,2021-07-16,1.56,1,353
16821,Large Room in Amazing East Village Apt,4396,Casey,Manhattan,East Village,40.72281,-73.98501,Private room,99,1,125,2021-07-23,1.69,2,56
16974,SpaHa Loft: Enormous and Bright,65837,Robin,Manhattan,East Harlem,40.8019,-73.93762,Entire home/apt,300,5,226,2021-07-20,1.85,1,133
17037,Lovely EV Artist's Home,66035,Anna,Manhattan,East Village,40.72289,-73.98028,Entire home/apt,160,30,53,2018-05-14,0.48,1,139
17693,"HARLEM, NYC,STILL WELCOMES YOU!! xx",68428,Tye And Etienne,Manhattan,Washington Heights,40.83253,-73.94108,Private room,65,2,60,2019-12-08,1.15,2,355
17747,BLUE TRIM GUEST HOUSE,68599,George,Brooklyn,Clinton Hill,40.68503,-73.96555,Private room,95,150,128,2020-03-08,1.13,1,364
18127,Charming East Village One Bedroom Flat,69829,Josh,Manhattan,East Village,40.72862,-73.98748,Entire home/apt,190,30,21,2018-08-28,0.16,1,295
18728,Beautiful Meatpacking District Loft,71876,DAVID And RICK,Manhattan,Chelsea,40.74261,-74.00353,Private room,175,4,190,2021-07-24,1.91,1,291
18961,Cozy Studio in Great Location!,70857,Fabian,Manhattan,Kips Bay,40.73808,-73.98001,Private room,95,30,1,2016-03-22,0.02,1,0
19159,Spacious luminous apt Upper West NYC,73051,Sybilla,Manhattan,Harlem,40.82817,-73.95133,Entire home/apt,110,31,58,2020-09-01,0.48,1,64
19282,"Sunny, Spacious Top Floor Haven",73469,Gaia,Brooklyn,Flatbush,40.65437,-73.96278,Private room,110,30,17,2019-07-20,0.15,1,89
19812,2 bedroom Williamsburg Apt - Bedford L stop,74857,Starlee,Brooklyn,Williamsburg,40.71802,-73.95724,Entire home/apt,105,30,61,2018-07-29,0.64,1,269
20717,Room in Brownstone B/Q feet away,78353,Guillaume,Brooklyn,Prospect Heights,40.6771,-73.97231,Private room,85,30,47,2021-03-31,0.66,4,339
20724,Sunny room+Pvte office in huge loft,961342,Augustin,Brooklyn,Bushwick,40.69891,-73.93809,Private room,50,5,31,2020-11-24,0.67,1,292
